movie_id,user_id,rating_val,review_text
fly-me-to-the-moon-2024,dyketactics,4,uncanny valley ass movie… i’m convinced that they already have AI writing these scripts… and lighting these setsi feel like the sheer amount of incredibly bad screenplays i’ve had to witness this year have just taught me that i could write a movie because it’s not that hard to write something so incredibly mid. so many beats in this are bad or just plain unbelievable. upset the space nerd in me.
jug-face,dyketactics,7,really good for an indie horror with limited locations. i thought the characters were great.
safe-is-desire,dyketactics,,if the lesbian porn doesn’t have a montage of the main character drinking away their sorrows related to their past traumas while a kd lang-esque song plays in the background i don’t want it
suburban-dykes,dyketactics,,everyone cheered
mulholland-drive,dyketactics,10,thinking about how the first time i watched this movie was on zoom like 😭😭
showgirls-2-pennys-from-heaven,dyketactics,8,this was wild and probably the funniest thing i’ve seen in a while. showgirls does inland empire and the room.q&a with rena riffel after she is so cute i love her….
twisters,dyketactics,7,This review may contain spoilers. I can handle the truth.  girl… do not get with him that’s a trauma bond if i’ve ever seen one
national-anthem-2023,dyketactics,8,i want to circle back and write something longer but i’m just gonna say i really liked this….
oddity-2024,dyketactics,7,i walked into the theater for the 11pm showing and i was the only person there… kept hearing breathing tho. so maybe that environment is why i found this to be pretty creepy and scary. jump scares were used effectively after the right amount of tension. i also think i’m just more affected by ghosts. especially ones that don’t haunt out of a malice but ones that haunt because they are not at rest. there’s something so deeply sad about…
old-lesbians,dyketactics,,"“they’re going to find out i’m not like them but they can’t tell yet because i don’t look any different” this was incredible. to view this in the same room as about 100 lesbians of all ages was truly special. encapsulated many feelings i had myself, despite being born about 80 years after most of these women!! the inter-generational lesbian commonality is so beautiful to witness. and the stop motion animation was such a good touch that really sold it for me!!"
the-flesh-of-fallen-angels,dyketactics,,"was definitely expecting something different (more narrative). but this music video-esque, channel-switching vibe is cool. this feels like something i would see projected at market hotel and rave to (back when i used to go out and have fun and be cool)"
didi-2024,dyketactics,8,"screened at momi with sean wang q&asuch a cute, well-written, well-acted slice of life. takes itself just seriously enough.the filmmaker mentioned the 400 blows as a reference and i totally see the similarity in emotionality."
love-lies-bleeding-2024,dyketactics,10,have a feeling since i now own this movie it’s going to become like the first half hour of bound to me….
the-first-omen,dyketactics,8,eats down in so many ways….best horror of this year
longlegs,dyketactics,6,HE WAS A LOU REED STAN !!!!
the-jinx-the-life-and-deaths-of-robert-durst,dyketactics,,no relation to fred durst?
paper-towns,dyketactics,3,responsible for introducing a new generation to the manic pixie dream girl
lovely-dark-and-deep,dyketactics,6,i feel like a found footage movie in a national park by a park ranger could be cool 😎something like horror in the high desert
black-metal-veins,dyketactics,1,if lucifer valentine has 0 haters im dead
the-phantom-of-regular-size,dyketactics,,can’t help but sing this title in the tune of muna
the-reflecting-skin,dyketactics,8,beautiful production design and cinematography
the-last-exorcism,dyketactics,6,exorcism is just advanced gaslighting
zero-day,dyketactics,8,"i’m part of the post-columbine generation. for as long as i can remember, we were taught how to defend ourselves against school shooters, what to do and say to first responders, and participating in monthly drills. from a young age we were essentially traumatized under the guise of it being for our “protection.” so maybe it’s just because of the time i was born but i feel like people my age have become very desensitized surrounding school shootings. many of us did…"
body-double,dyketactics,10,i had to go to the movie theater to return the vhs tapes i rented from them and they were playing body double so i went to see it. coincidentally the movie patrick bateman is returning when he says he needs to return some video tapes. everything is meta.
bathroom-sluts,dyketactics,,leather jacket stays ON during sex
the-conspiracy,dyketactics,6,"i felt like they could have gone a lot further with the government conspiracy angle. theory seemed pretty surface level, but maybe i just expect more in the year 2024. i’m used to adam curtis level government conspiracy documentary."
inside-out-2-2024,dyketactics,6,lesbihonest
maxxxine,dyketactics,5,third act? never heard of a third act in my life. what’s that?
the-dirties,dyketactics,3,elephant is superior
damsel-2024,lanmar,4,". I didn't think I'd watch it but my sister encouraged me.  I think the film is very average, although it has some good elements like Millie Bobby Brown who does quite well (although I think she deserves better movies) and visual effects and music are also quite good. But the big minus is the too simple plot, almost everything is predictable, even despite these plot twists, although on the other hand it's an ordinary film produced by Netflix so what did I expect?"
maxxxine,lanmar,7,"I love this atmosphere of the 80s with horror and anxiety, I think this movie captured it all perfectly. Mia Goth is phenomenal as always, but I didn't expect anything else, she is a real star! The film itself is good, direction and roles of actors, nostalgia for horror movies from the 80s, topics related to Hollywood, soundtrack, although I have the impression that at some point the plot lacks a bit of coherence.But all in all, it's still a movie worth watching, and a worthy conclusion to the trilogy. By the way, I already know who I'll dress up as this halloween."
challengers,lanmar,6,". I have a problem with this film, everyone raves about it, but in my opinion it was so bland. The characters were very mean, so it was hard to root for anyone,the dialogues were often very embarrassing, I felt like I was watching a slow motion film all the time. Even though I like Luca's films, I didn't like this one."
back-to-black,lanmar,,". I don't think Amy would like this film,I think a lot of things were wrong or inaccurate, this ending didn't really suit me either"
anyone-but-you,lanmar,7,.Just a good and pleasant time spent at the cinema with my sister
priscilla,lanmar,6,". I love Sofia and her films,movie has a very comfortable feel to it,but something was missing in my opinion"
saltburn,lanmar,7,". Men are smart, nice, rich and psychopathic."
shrew,lanmar,2,. I think she should still contacta psychologist.
the-peasants-2023,lanmar,8,". I really liked film Loving Vincent, so I knew I would like this too. A great piece of work, great admiration, beautiful scenes, especially dancing ones, film is literally beautiful."
the-case-of-iwona-wieczorek,lanmar,,".Tak rozwikłaną sprawę moim zdaniem spokojnie można było odpowiedzieć, w większej ilości odcinków. Bardzo smutnosię patrzy na ludzi którychta sprawa dotknęła, mam nadzieję że kiedyś dowiedzą się prawdy, bo bardzo na to zasługą."
the-travelling-dog,lanmar,,".To this day, I wonder why I went to the cinema to see it."
the-little-mermaid-2023,lanmar,3,"I don't know why I watched it after I watched Oppenheimer but it was a real straight to ground. Totally not my vibes, bad movie."
gladiator-ii,antovolk,9,"I say again, #ReleaseTheBumAcheFactorCutStill good though"
paddington-in-peru,antovolk,,round 4 / final version round 1 / Dolby Atmos
anora,antovolk,9,"This review may contain spoilers. I can handle the truth.  if I wasn't losing it already, when the fucking TATU needle drop happens"
blitz-2024,antovolk,10,let filmmakers do their elevated blockbusters
joker-folie-a-deux,antovolk,8,"This review may contain spoilers. I can handle the truth.  Joker, Coda: The Death of Arthur Fleckactually so happy I knew going in, not of the death obviously but of the total fuck you nature of it, as someone who looking back still wasn't convinced by the intentions of the first film. here it's very clear and bless Philips for trying.side note, also bless Philips/Sher for thinking about 1.43 ""super IMAX"" (lol that's a fun term). the cropped framing in these sequences though? eh, that just made it a tad uncomfortable. here's to more zany experiments in the format"
napoleon-2023,antovolk,9,[the bum ache factor cut]fucking finally
disclaimer-2024,antovolk,8,E1+2
deadpool-wolverine,antovolk,8,"have to say, as much as the meta nature of it all is clearly grating some people - this is what made the multiverse shtick actually *work* in this one vs NWH or MOM. because if you wanna go *there*, at least this acknowledges the *why*. (Even if edges are sanded off)"
twisters,antovolk,9,half star extra for 4DX
little-forest,genyasapphic,10,"having a home & loved ones to return to, being able to cook for yourself & your loved ones, sharing a meal with old friends, feeling content & comfortable in your own presence, having a little forest of ur own… truly some of the greatest joys & blessings life has to offer omg my heart is so full :,) <3"
kamikaze-girls,genyasapphic,9,"this movie was literally made for me i don’t know what else to tell u guys like there’s lesbians & fashion & fun & so much love all of this is who i am & what i represent as person !!!! also momoko saying she felt like crying when she saw ichigo’s delight upon seeing the kamikaze embroidery she did for her omg so heart-warming she’s soooo me :,) <33"
reply-1988,genyasapphic,10,"i started rewatching this drama sometime during last year & made it a habit to watch a little part of an episode on days that felt too devoid love & light, days where warmth & comfort seemed to abandon my being, days where despair & fear bore too heavy on my shoulders & this beautiful drama never failed to offer me a refuge & a safe haven from the throes of my own miseries. life has actually been very kind to me lately, given how long…"
hana-and-alice,genyasapphic,8,when your circle small but your souls deeply & inextricably intertwined with one another !!! literally me n chanda <3
what-comes-after-love,genyasapphic,9,watching this drama during a time of the year when my mental health begins deteriorating has taken me to places i wouldn’t even go to without cyanide
skip-and-loafer,genyasapphic,10,shoujo so fawking good the hope makes a comeback omfg NEVER KILL YOURSELF
love-next-door-2024,genyasapphic,4,when that one dilf said “gay inmida” 🤯🤯🤯
big-little-lies,genyasapphic,9,oh this ATE despite being one of the whitest & most quintessential of yt ppl shows.. the finale episodes of both seasons had some of the most powerful & enthralling scenes in television history omg i’m so excited for season 3
kamli-2022,genyasapphic,9,"a harrowing tale of love & loss, grief & longing, subjugation & anguish, nostalgia & wistfulness that so artfully integrates local folklore, poetry, music & animal motifs on top of delivering stunning cinematography & visuals? me & all my fellow esoteric desi girls just collectively fell hard to our knees"
badhaai-do,genyasapphic,6,rimjhim you have bewitched me body & soul
dil-dhadakne-do,genyasapphic,8,"“i won’t ditch u, mangni announce hotay hi mein tumhe dump kar doon ga” SO FREAKING HILARIOUS I BUSTED A LUNG LAUGHING.. also i love love love the dynamic between ayesha & kabir cause that’s literally me & my bhai i love it when siblings are also silly little best friends <3"
the-glassworker,genyasapphic,8,my gluttonous ass went straight to bundu khan after i got out of the movie theatre & ate 5 gulab jamuns in a row.. anyways beautiful gorgeous stunning animation the ghibli girl in me was on cloud ninety-nine thousand !!!!! the movie is definitely not perfect but i’m gonna be generous & refrain from being too critical as it’s a big milestone for pakistani cinema & i’m hopeful we’ll improve with time but one thing that bugged me a lot was the lacklustre…
ran,hashbro,10,"Unparalleled! Unbeatable! Peak!Finally! Its been very long I was waiting to watch Ran and finish Kurosawa movies. I am glad I decided to watch Ran as the last one from his artography. What to say! My eyes are still Red, Yellow and Blue!Stunned! Amazed! Deeply Entertained!Just one name, Kurosawa 🔥❤️🤌His cinematography perspective is unmatchable. I have never seen such beautiful and meanigful frames like in Kurosawa movies. Mastery. Tatsuya Nakadai, his bestest of the best. What…"
maelstrom,hashbro,6,Great plot and performances. The idea of narration by a fish and the how the whole plot connects with so many fish is quite a concept. Execution gets a bit messy in between but the final act is so captivating. Denis Villenueve Ranked
your-monster-2024,hashbro,3,"Wildly stupid and unfunny! And definitely not horror!!!I want to give more marks for Melissa but the whole product is not letting me do it. She is such a talent, hope she selects better scripts. 2024 HollywoodTop 100: 2024"
memoir-of-a-snail,hashbro,6,Memoir of a Snail is only a shadow of Adam Elliot’s own M&M. It brings nothing new to the audience except the stop motion. While Elliot excels and masters in the stopmotion he fades here as a writer. The story of Grace and Gilbert is touching but all the side characters and subplots are weak. The movie shows the wickedness and problems of extreme religious beliefs so well but the same time seems too far stretched with the aesthist interests. The…
mary-and-max,hashbro,10,I just wanted to say Adam Elliot is a genius as a writer and a director. Mary & Max is an emotional roller coaster. When I started I never thought these puppets could make you cry. They are not puppets anymore; they are each and every one of us! The music is 🤌Favourite Animations⭐️⭐️⭐️⭐️⭐️
august-32nd-on-earth,hashbro,5,"Denis Villeneuve’s debut feature is not that bad nor great. It has some funny moments and good acting. The plot is thin and not quite interesting. There are a fair amount of nice frames. Overall, a passable romantic comedy. Denis Villenueve Ranked"
magpie-2024,hashbro,5,Daisy Ridley gives a great performance in otherwise OKish psychological dram Magpie. The narration was good and engrossing. The surprise factor didn’t quite connect well with me as I thought the movie is already explaining it in few scenes. 🤷‍♂️2024 HollywoodTop 100: 2024
cosmos,hashbro,5,Watched it thinking its Denis’s debut feature. It turned out to be an anthology of six directors which is very forgettable.
transformers-one,hashbro,8,"The IMAX experience I had with Transformers One is without a doubt, one of my best theatre experience. I was not allowed to look at anything else but the visuals, music and the aesthetics. It was mindblowing!I wanted to give it another go as soon as I finished watching it the first time. As said, the visuals, music and aesthetics is amazing in the small screen. II had issues with some weak scenes, dialogues at times and the face design of the bots. All bot but mouth like humans felt wierd.2024 AnimationTop 100: 2024"
we-live-in-time,hashbro,7,An emotional ride with great performances. The story and narration is pretty straightforward. 2024 International MoviesTop 100: 2024
megalopolis-2024,hashbro,4,FFC’s ambition is commendable but Megalopolis is a failed attempt to convey his vision. The movie fails in the world building and to take the audience into it. The production could have been much much better which would have made an impact. The frames are beautiful with all the ‘sunset’ grading. FFC’s narration of Megalopolis feels outdated and the editing makes it worse. The performances are good but the failure to any emotional connection to the characters makes them OKish. FFC Ranked2024 HollywoodTop 100: 2024
it-ends-with-us,hashbro,2,Romance? Is that domestic abuse called these days?The story and writing is the worst. 2024 Hollywood
the-seed-of-the-sacred-fig,mnaves,8,"A psychological thriller and sociological slice-of-life that, alas, morphs in to a chase film during it last thirty-or-so minutes. Notwithstanding the picturesque setting in which the denouement takes place, ""The Seed of the Sacred Fig"" could have been all the more powerful without recourse to a rather mainstream trope. Kudos, however, to all and sundry for an endeavor made under circumstances that would test the mettle of most of us."
the-thin-man,mnaves,8,"""During the run of W.S. Van Dyke’s 'The Thin Man' (1934), Nick Charles can be seen hoisting a glass 21 times. To which one is tempted to reply: Is that all? Insouciance is easily mistaken for intoxication, but Nick Charles does hold his liquor with engaging aplomb.""The full review can be found at ""The New York Sun"": www.nysun.com/article/rather-than-the-mysteries-the-tart-and-playful-tete-a-tetes-are-the-most-notable-reason-to-watch-the-thin-man-series"
a-travelers-needs,mnaves,5,"""This time around, Hong Sangsoo has crafted a movie that is typical in its miniaturist scope and compositional strategies, but, on the whole, less incisive than abstruse.""The full review can be found at ""The New York Sun"": www.nysun.com/article/admirers-of-isabelle-huppert-and-hong-sangsoo-may-celebrate-that-theyre-together-again-though-a-travelers-needs-is-not-their-best"
there-was-there-was-not,mnaves,8,"""The director, who set out to highlight the lives of women in a culture dominated by men, notes that she ‘never meant to make a film that documented war, displacement, and ethnic cleansing.’""The full review can be found at ""The New York Sun"": www.nysun.com/article/never-heard-of-artsakh-there-was-there-was-not-offers-a-good-chance-to-learn-about-the-troubled-former-soviet-region"
all-we-imagine-as-light,mnaves,9,"""Working with cinematographer Ranabir Das, Kapadia traverses Mumbai’s byways with an ethnographic eye, crafting a free-ranging tale of hard-scrabble lives that has been recognized for its focus on ‘subjects related to the female world.'"""
scarface,mnaves,9,"""Notwithstanding its moralistic add-ons, flagrant comic touches, and dated character types, ‘Scarface’ retains its brute primacy, an explosive sense of oncoming disaster, and inevitable comeuppance.""The full review can be found at ""The New York Sun"": www.nysun.com/article/4k-restoration-of-1932-film-scarface-offers-opportunity-to-experience-the-deft-directing-of-howard-hawks"
nathan-ism,mnaves,7,"""When we meet Nathan Hilu, the nonagenarian artist is drawing, scribbling, cutting, pasting, and writing about the time he spent at Nuremberg. A lively raconteur, he rattles off his adventures with a ragged and often salty esprit.""The full review can be found at ""The New York Sun."""
okie,mnaves,8,"""‘Okie’ is true enough in its particulars and hypnotizing enough as a whole to iterate how many of the most rewarding films being made today can be found at the margins of culture.""The full review can be found at ""The New York Sun"": www.nysun.com/article/a-decidedly-off-key-feature-rooted-in-a-conventional-narrative-okie-is-a-sleeper-worth-saluting"
agent-of-happiness,mnaves,8,"""The film depicts efforts to track the country’s Gross National Happiness — an official directive instituted in the latter part of the 1970s as a means by which policy could be shaped.""The full review can be found at ""The New York Sun"": www.nysun.com/article/agent-of-happiness-a-look-at-bhutan-is-cinema-verite-with-a-nod-to-fictions-conventions"
the-substance,mnaves,5,"Director Coralie Fargeat blows it in the last act of this film wherein she forgoes effective (if obvious) satire for grand guignol (and egregious) excess. Up until then, ""The Substance"" is a weird '70s style chiller that mixes Kubrickian rigor with a mordant strain of humor. Both Demi Moore and Margaret Qualley give it their all (and bare their all) for a picture that ultimately takes an easy out. Over-the-top and disappointing."
the-bat,mnaves,7,"""Even a cursory observer of mass media will experience a kind of inverse déjà vu upon watching the picture because it so clearly presages a DC Comics superhero, Batman.""The full review can be found at ""The New York Sun"": www.nysun.com/article/just-in-time-for-halloween-a-2k-restoration-of-roland-wests-1926-film-the-bat-arrives-via-undercrank"
monsieur-vincent,mnaves,9,"""Director Maurice Cloche’s film is as dour and complicated as its hero. It’s beautiful to look at and the production design is top notch, even when it underlines the rubble of human lives.""The full review can be found at ""The New York Sun"": www.nysun.com/article/rescued-from-relative-obscurity-the-gritty-and-sometimes-grimy-monsieur-vincent-is-remarkable-for-many-reasons"
i-walked-with-a-zombie,mnaves,8,"""Those who have had it up to here with flesh-eating ghouls should know that Tourneur’s film is a far cry from the current crop of undead fare, being a distant relative of 'Jane Eyre' and something approaching a sociological documentary.""The full review can be found at ""The New York Sun"": www.nysun.com/article/new-on-blu-ray-two-tantalizing-dreams-of-death-spawned-under-the-auspices-of-producer-val-lewton"
the-seventh-victim,mnaves,6,"""The plot, with its constant shuttling of characters and their all-too-convenient alliances, is close to nonsensical though it does contain moments that are unnerving.""The full review can be found at ""The New York Sun"": www.nysun.com/article/new-on-blu-ray-two-tantalizing-dreams-of-death-spawned-under-the-auspices-of-producer-val-lewton"
the-hustler,mnaves,10,"Repeat after me: this is not a sports movie. Though pool is at the fulcrum on which events play out, ""The Hustler"" is a study of redemption won the hard way and then without any redeeming sense of elation. This has to be one of the most miserable stories put on film, what with its casual embrace of greed, foolhardy embrace of ego and its outline of the lengths to which we humans will go for defeating our noblest impulses. Piper Laurie is the unsung actor in a film rife with indelible performances."
daytime-revolution,mnaves,8,"""As cinema, ‘Daytime Revolution’ is pedestrian in form, but it is invariably entertaining and often revealing.""The full review can be found at ""The New York Sun"": www.nysun.com/article/new-documentary-recounts-a-mainstream-moment-for-counterculture-when-john-lennon-and-yoko-ono-took-over-the-mike-douglas-show"
animal-2023-3,mnaves,9,"“'Animal' isn’t an easy film, devoted as it is to the harms the body can accrue through constant physical strain and a concomitant existential fatigue.""The full review can be found at ""The New York Sun"": www.nysun.com/article/will-new-york-greek-film-expo-2024-be-part-of-the-weird-wave"
little-things-that-went-wrong,mnaves,7,"""Within its connect-the-dots parameters, director Haris Vafeiadis does contrive some sharp set pieces and is helped by the actors, especially Thanos Tokakis and, in a brief but memorable turn as a licentious former classmate, Zoe Nalbanti.""The full review can be found at ""The New York Sun"": www.nysun.com/article/will-new-york-greek-film-expo-2024-be-part-of-the-weird-wave"
carville-winning-is-everything-stupid,mnaves,4,"Arrant self-regard amongst political power brokers and news media elites. Intermittently amusing, sometimes revealing and oh-so-adulatory. Bum smooching, in other words, and you can keep it."
hold-your-breath-2024,mnaves,4,"Willa Cather meets Stephen King. Polished, sure, but this period piece about isolation, dust and more dust has been CGI-ed beyond the realm of possibility. In the end, ""Hold Your Breath"" isn't gritty enough."
